,company,costOfRevenue,ebit,grossProfit,incomeBeforeTax,incomeTaxExpense,interestExpense,minorityInterest,netIncome,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,operatingIncome,otherOperatingExpenses,sellingGeneralAdministrative,totalOperatingExpenses,totalOtherIncomeExpenseNet,totalRevenue,accountsPayable,capitalSurplus,cash,commonStock,deferredLongTermAssetCharges,inventory,longTermDebt,longTermInvestments,minorityInterest.1,netReceivables,netTangibleAssets,otherAssets,otherCurrentAssets,otherCurrentLiab,otherLiab,otherStockholderEquity,propertyPlantEquipment,retainedEarnings,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalStockholderEquity,treasuryStock,esgRiskRating,esgCluster,cluster,DCN
33,EXCL.jk,9.26E+12,3.08E+12,1.67E+13,1.46E+11,-2.25E+11,-2.62E+12,,3.72E+11,3.72E+11,3.72E+11,3.08E+12,,3.69E+12,2.29E+13,-2.94E+12,2.6E+13,3.6E+11,1.22E+13,2.97E+12,1.07E+12,85330000000,1.43E+11,7.77E+12,1.77E+11,,6.64E+11,6.74E+12,4.36E+11,3.05E+11,1.15E+13,2.36E+12,,4.72E+13,5.97E+12,6.77E+13,7.57E+12,1.89E+13,4.86E+13,1.91E+13,-1.34E+11,27.6,2,1,3
34,GGRM.jk,9.72E+13,1.01E+13,1.73E+13,9.66E+12,2.02E+12,-3.83E+11,60000000,7.65E+12,7.65E+12,7.65E+12,1.01E+13,-2.09E+11,7.39E+12,1.04E+14,-4.21E+11,1.14E+14,1.12E+12,53700000000,4.77E+12,9.62E+11,1.42E+11,4E+13,1.57E+11,,60000000,2.56E+12,5.85E+13,9.75E+11,1.78E+12,6.69E+11,2.5E+12,-33379000000,2.77E+13,5.75E+13,7.82E+13,4.95E+13,1.7E+13,1.97E+13,5.85E+13,-33379000000,37.3,3,0,2
35,HMSP.jk,2.15E+13,1.04E+13,1.88E+13,1.12E+13,2.58E+12,-29470000000,,8.58E+12,8.58E+12,8.58E+12,1.04E+13,,8.37E+12,2.99E+13,7.59E+11,4.03E+13,3.35E+12,2.06E+13,1.58E+13,4.65E+11,3.94E+11,1.86E+13,,80356000000,,4.1E+12,3.02E+13,1.86E+12,1.78E+12,1.36E+12,2.49E+12,6.16E+11,6.58E+12,8.57E+12,4.97E+13,4.11E+13,1.67E+13,1.94E+13,3.02E+13,6.16E+11,25.9,2,2,3
36,HOKI.jk,1.03E+12,67576608325,1.42E+11,50874681549,12836262144,-18578305433,146440200,38043800534,38043800534,38038419405,67576608325,177629271,73217409821,1.11E+12,-16701926776,1.17E+12,1935349192,1.58E+11,4787116907,2.42E+11,5271632519,1.47E+11,23480170408,,146440200,2.46E+11,6.62E+11,91469169411,25779685262,5126896878,20530054073,71402,3.92E+11,2.62E+11,9.07E+11,4.23E+11,1.89E+11,2.44E+11,6.62E+11,71402,46.5,4,3,4
37,ICBP.jk,2.94E+13,9.2E+12,1.72E+13,1E+13,2.61E+12,-6.71E+11,2.09E+13,6.59E+12,6.59E+12,7.42E+12,9.2E+12,-81321000000,8.11E+12,3.74E+13,8.25E+11,4.66E+13,3.05E+12,5.99E+12,9.54E+12,5.83E+11,4.78E+11,4.59E+12,3.08E+13,1.06E+13,2.09E+13,5.75E+12,-2.64E+13,2.76E+12,7.94E+11,2.49E+12,1.32E+13,2.86E+11,1.36E+13,2.26E+13,1.04E+14,2.07E+13,9.18E+12,5.33E+13,2.94E+13,2.86E+11,42.1,4,2,0
38,INCO.jk,9.29E+12,1.54E+12,1.8E+12,1.52E+12,3.16E+11,-23345000000,145000000,1.2E+12,1.2E+12,1.2E+12,1.54E+12,1.54E+11,1.07E+11,9.55E+12,-25360500000,1.11E+13,1.64E+12,4.03E+12,5.64E+12,1.98E+12,0,2.1E+12,0,0,145000000,9.07E+11,2.93E+13,2.02E+12,5.23E+11,1.1E+11,1.94E+12,0,2.14E+13,2.33E+13,3.36E+13,1.01E+13,2.33E+12,4.27E+12,2.93E+13,0,31.5,3,2,4
39,INDF.jk,5.5E+13,1.29E+13,2.68E+13,1.24E+13,3.67E+12,-1.88E+12,3.68E+13,6.46E+12,6.46E+12,8.75E+12,1.29E+13,-1.92E+11,1.41E+13,6.89E+13,-4.26E+11,8.17E+13,4.41E+12,2.84E+11,1.73E+13,8.78E+11,1.21E+12,1.12E+13,3.91E+13,1.17E+13,3.68E+13,7.45E+12,-1.59E+13,7.35E+12,2.35E+12,3.82E+12,1.68E+13,1.01E+13,4.74E+13,3.11E+13,1.63E+14,3.84E+13,2.8E+13,8.4E+13,4.24E+13,1.01E+13,45.1,4,2,1
40,INDY.jk,2.38E+13,-6.12E+11,2.51E+12,-1.65E+12,1.09E+11,-1.32E+12,2.63E+12,-1.7E+12,-1.7E+12,-1.75E+12,-6.12E+11,-3.12E+11,1.47E+12,2.69E+13,-1.03E+12,2.63E+13,4.86E+12,3.68E+12,9.44E+12,8.25E+11,68403982000,1.03E+12,2.15E+13,3.66E+12,2.63E+12,7.37E+12,-5.68E+12,1.04E+12,1.46E+12,1.58E+12,5.89E+12,2.12E+11,1.01E+13,5.23E+12,5.07E+13,2.02E+13,1.03E+13,3.81E+13,9.94E+12,2.07E+11,38.1,3,1,5
41,INKP.jk,3.09E+13,7.7E+12,1.24E+13,5.56E+12,1.3E+12,-3.02E+12,7989500000,4.26E+12,4.26E+12,4.26E+12,7.7E+12,0,4.7E+12,3.56E+13,-2.14E+12,4.33E+13,2.84E+12,85303500000,1.26E+13,3.17E+13,0,5.29E+12,2.88E+13,1.79E+11,7989500000,1.88E+13,6.16E+13,9.29E+12,1.25E+13,8.51E+11,4.25E+12,1.29E+11,5.08E+13,2.97E+13,1.23E+14,6.3E+13,2.79E+13,6.16E+13,6.16E+13,1.29E+11,28.5,2,4,0
42,INTP.jk,9.07E+12,1.95E+12,5.11E+12,2.23E+12,4.19E+11,-45193000000,,1.81E+12,1.81E+12,1.81E+12,1.95E+12,32327000000,2.83E+12,1.22E+13,2.76E+11,1.42E+13,1.6E+12,2.7E+12,7.7E+12,1.84E+12,73396000000,1.82E+12,,96320000000,,2.62E+12,2.22E+13,5.46E+11,1.34E+11,6.04E+11,7.06E+11,,1.44E+13,1.76E+13,2.73E+13,1.23E+13,4.22E+12,5.17E+12,2.22E+13,,29.8,2,4,0
43,IPTV.jk,2.78E+12,5.52E+11,9.03E+11,2.91E+11,50332000000,-1.87E+11,2.05E+11,2.3E+11,2.3E+11,2.4E+11,5.52E+11,,3.52E+11,3.13E+12,-2.61E+11,3.69E+12,7.73E+11,,80753000000,1.21E+13,2.31E+11,6.89E+11,1.86E+12,,2.05E+11,5.51E+11,6.66E+12,5.5E+11,3.32E+11,76920000000,2.39E+11,-5.15E+12,8.17E+12,1.63E+11,1.11E+13,1.9E+12,1.65E+12,3.76E+12,7.1E+12,-5.15E+12,23,2,3,1
44,ITMG.jk,1.4E+13,1.3E+12,3.14E+12,1.05E+12,5.04E+11,-50358500000,-1.14E+11,5.72E+11,5.72E+11,5.49E+11,1.3E+12,2.72E+11,1.38E+12,1.59E+13,-2.49E+11,1.72E+13,9.04E+11,4.77E+12,3.36E+12,9.26E+11,8.3E+11,8.73E+11,5.18E+11,0,-1.14E+11,1.18E+12,1.24E+13,5.07E+12,3.6E+11,4.65E+11,9.94E+11,-68860500000,5.79E+12,7.04E+12,1.68E+13,5.94E+12,3.01E+12,4.53E+12,1.24E+13,-3.47E+11,35.5,3,1,4
45,JPFA.jk,2.98E+13,2.47E+12,7.18E+12,1.46E+12,4.57E+11,-8E+11,7.34E+11,9.17E+11,9.17E+11,1E+12,2.47E+12,1.17E+11,4.59E+12,3.45E+13,-1.01E+12,3.7E+13,2.5E+12,1.15E+12,1.34E+12,1.88E+12,4.15E+11,7.09E+12,6.79E+12,1.27E+11,7.34E+11,1.98E+12,1.05E+13,2.57E+12,1.23E+12,9.47E+11,1.71E+12,-40105000000,1.13E+13,7.77E+12,2.6E+13,1.17E+13,6.01E+12,1.45E+13,1.07E+13,-1.2E+11,41.8,4,1,5
46,JSMR.jk,7.92E+12,4E+12,5.78E+12,6.96E+11,7.38E+11,-3.61E+12,5.7E+12,5.01E+11,5.01E+11,-41629000000,4E+12,6.31E+11,1.15E+12,9.71E+12,-3.3E+12,1.37E+13,3.25E+11,4E+12,4.6E+12,3.63E+12,2385000000,1.38E+11,5.77E+13,5.02E+12,5.7E+12,4.42E+12,-6.45E+13,4.03E+12,7.06E+11,4.5E+12,6.68E+12,-6.14E+11,7.46E+11,1.21E+13,1.04E+14,1.07E+13,1.49E+13,7.93E+13,1.91E+13,-6.14E+11,15.2,1,1,2
47,KAEF.jk,6.68E+12,6.64E+11,3.33E+12,73359098000,52933342000,-5.96E+11,1.12E+11,17638834000,17638834000,20425756000,6.64E+11,-2.91E+11,2.79E+12,9.34E+12,-5.91E+11,1E+13,1.29E+12,,1.25E+12,5.55E+11,66152110000,2.54E+12,2.56E+12,1.66E+11,1.12E+11,1.76E+12,6.8E+12,1.12E+12,4.3E+11,1.6E+11,1.08E+12,4.15E+12,9.99E+12,2.29E+12,1.76E+13,6.09E+12,6.79E+12,1.05E+13,6.99E+12,4.15E+12,42.4,4,1,2
48,KLBF.jk,1.3E+13,3.59E+12,1.01E+13,3.66E+12,8.64E+11,-75836781268,8.71E+11,2.73E+12,2.73E+12,2.8E+12,3.59E+12,-31246763499,6.24E+12,1.95E+13,77288670434,2.31E+13,1.24E+12,,5.21E+12,4.69E+11,85420248716,3.75E+12,7.23E+11,1.23E+11,8.71E+11,3.59E+12,1.67E+13,3.95E+11,3.04E+11,1.03E+12,3.23E+11,63174207779,8.31E+12,1.69E+13,2.26E+13,1.31E+13,3.18E+12,4.29E+12,1.74E+13,61111007779,32.8,3,4,0
49,LINK.jk,8.69E+11,1.4E+12,3.18E+12,1.25E+12,3.05E+11,-1.42E+11,3000000,9.42E+11,9.42E+11,9.42E+11,1.4E+12,4320000000,8.4E+11,2.64E+12,-1.57E+11,4.05E+12,7.88E+11,1.34E+12,3.6E+11,2.86E+11,96039000000,,,,3000000,2.88E+11,4.51E+12,3.38E+11,7451000000,1.5E+11,1.93E+11,,6.57E+12,3.41E+12,7.8E+12,7.74E+11,2.82E+12,3.18E+12,4.62E+12,-4.1E+11,30.2,3,3,2
50,LPKR.jk,1.11E+13,-3.38E+12,6.67E+11,-9.31E+12,3.26E+11,-1.84E+12,4.1E+12,-8.89E+12,-8.89E+12,-9.64E+12,-3.38E+12,1.89E+11,3.85E+12,1.52E+13,-5.93E+12,1.18E+13,9.39E+11,1.05E+13,2.99E+12,7.09E+12,1.4E+11,2.66E+13,1.2E+13,4.16E+12,4.1E+12,1.98E+12,1.88E+13,5.17E+12,9.2E+11,5.61E+12,2.29E+12,8.62E+12,8.79E+12,-6.62E+12,5.19E+13,3.31E+13,1.06E+13,2.83E+13,1.95E+13,8.5E+12,29.7,2,4,2
51,LPPF.jk,2.05E+12,-5.45E+11,2.79E+12,-9.34E+11,-61223000000,-3.8E+11,,-8.73E+11,-8.73E+11,-8.73E+11,-5.45E+11,1.03E+11,2.27E+12,5.38E+12,-3.89E+11,4.84E+12,2.76E+11,,5.24E+11,2.8E+11,1.04E+11,8.89E+11,,6.01E+11,,80815000000,5.81E+11,5.74E+11,99547000000,2.09E+11,4.77E+11,-3.56E+12,3.53E+12,3.86E+12,6.32E+12,1.61E+12,2.86E+12,5.74E+12,5.81E+11,-3.56E+12,20.4,2,3,4
52,LSIP.jk,2.48E+12,8.14E+11,1.06E+12,8.6E+11,1.65E+11,-585000000,2101000000,6.96E+11,6.96E+11,6.95E+11,8.14E+11,-21500000000,2.63E+11,2.72E+12,46572000000,3.54E+12,1.64E+11,1.03E+12,1.96E+12,6.82E+11,1104000000,3.64E+11,,1.27E+12,2101000000,3.39E+11,9.08E+12,2.12E+11,2.51E+11,2.39E+11,1.04E+12,14911000000,6.32E+12,7.56E+12,1.09E+13,2.92E+12,5.97E+11,1.64E+12,9.28E+12,11641000000,38.3,3,3,4
53,MAIN.jk,6.35E+12,2.05E+11,6.51E+11,20070557000,59023599000,-1.81E+11,-2022667000,-38838675000,-38838675000,-38953042000,2.05E+11,-6525706000,4.53E+11,6.8E+12,-1.85E+11,7E+12,2.24E+11,7.64E+11,1.78E+11,44775000000,1.72E+11,8.86E+11,8.72E+11,,-2022667000,4.53E+11,1.99E+12,2.37E+11,4.73E+11,64698838000,1.52E+11,,2.45E+12,1.18E+12,4.67E+12,1.99E+12,1.66E+12,2.69E+12,1.99E+12,,49.6,4,3,4
54,MAPI.jk,8.85E+12,-1.38E+11,6E+12,-7.02E+11,-1.16E+11,-5.28E+11,1.15E+12,-5.54E+11,-5.54E+11,-5.85E+11,-1.38E+11,,6.13E+12,1.5E+13,-5.64E+11,1.48E+13,1.62E+12,5.03E+11,2.79E+12,8.3E+11,3.68E+11,3.72E+12,3.76E+11,3.39E+11,1.15E+12,5.08E+11,5.1E+12,9.08E+11,7.42E+11,1.02E+12,8.4E+11,1.13E+12,7.99E+12,2.9E+12,1.77E+13,8.17E+12,7.34E+12,1.12E+13,5.35E+12,1.11E+12,22,2,1,4
55,MDKA.jk,3.01E+12,1.3E+12,1.65E+12,8.15E+11,3.96E+11,-3.35E+11,4.16E+11,5.25E+11,5.25E+11,4.19E+11,1.3E+12,61303114500,2.78E+11,3.36E+12,-4.88E+11,4.67E+12,2.93E+11,4.15E+12,7.4E+11,5.03E+11,2.8E+11,1.46E+12,1.46E+12,55166859500,4.16E+11,4.99E+11,7.76E+12,1.25E+12,1.87E+11,2.84E+11,7.14E+11,3.71E+11,9.29E+12,2.73E+12,1.35E+13,2.89E+12,2.79E+12,5.31E+12,7.76E+12,3.71E+11,45.8,4,3,4
56,MEDC.jk,6.09E+12,1.62E+12,9.3E+12,-1.43E+12,1.05E+12,-4.09E+12,2.72E+12,-2.74E+12,-2.74E+12,-2.47E+12,1.62E+12,3.68E+11,2.21E+12,1.38E+13,-3.04E+12,1.54E+13,2.62E+12,7.22E+12,4.31E+12,1.77E+12,8.85E+11,1.44E+12,3.48E+13,1.21E+13,2.72E+12,8.33E+12,1.36E+13,1.01E+13,1.25E+13,9.21E+12,1.06E+13,-1.09E+12,3.5E+13,6.72E+12,8.53E+13,2.72E+13,1.98E+13,6.8E+13,1.46E+13,-1.1E+12,42.2,4,1,4
57,MIKA.jk,1.76E+12,1.06E+12,1.66E+12,1.17E+12,2.46E+11,-11483569517,5.97E+11,8.42E+11,8.42E+11,9.23E+11,1.06E+12,-21302258041,6.15E+11,2.35E+12,1.05E+11,3.42E+12,2.01E+11,1.36E+12,7.05E+11,1.42E+11,63443769905,55031322342,,,5.97E+11,7.09E+11,4.5E+12,3.19E+11,8017974595,2.25E+11,2.87E+11,19209069449,2.53E+12,3.4E+12,6.37E+12,3.1E+12,5.68E+11,8.55E+11,4.92E+12,9932480660,26.1,2,3,2
58,MNCN.jk,3.05E+12,2.82E+12,4.91E+12,2.34E+12,4.69E+11,-4.22E+11,3.04E+11,1.75E+12,1.75E+12,1.87E+12,2.82E+12,,1.81E+12,5.14E+12,-4.81E+11,7.96E+12,1.25E+11,3.19E+12,9.4E+11,1.5E+12,2.89E+11,3.39E+12,2.08E+12,1.53E+12,3.04E+11,3.37E+12,1.2E+13,1.11E+12,3.04E+11,98775000000,2.07E+11,-4784000000,5.78E+12,1.24E+13,1.89E+13,8.32E+12,2.16E+12,4.46E+12,1.42E+13,-2.98E+12,17.9,1,0,0
59,MPMX.jk,1.02E+13,3.44E+11,1.02E+12,2.83E+11,93039000000,-62175000000,49000000,1.18E+11,1.18E+11,1.9E+11,3.44E+11,-96342000000,7.77E+11,1.08E+13,-60308000000,1.12E+13,5.52E+11,1.48E+12,1.63E+12,2.23E+12,79709000000,2.49E+11,5.24E+11,9.48E+11,49000000,2.98E+11,5.49E+12,1.81E+12,2540000000,9.53E+11,5.5E+11,-4.59E+11,2.85E+12,3.2E+12,9.21E+12,2.77E+12,1.8E+12,2.89E+12,6.32E+12,-5.87E+11,31.8,3,1,4
60,MTDL.jk,1.28E+13,7.12E+11,1.26E+12,7.03E+11,1.62E+11,-4830000000,1.08E+12,3.65E+11,3.65E+11,5.42E+11,7.12E+11,32308000000,5.3E+11,1.33E+13,-8875000000,1.4E+13,1.05E+12,1.83E+11,1.85E+12,1.23E+11,29757000000,7.92E+11,,60233000000,1.08E+12,1.69E+12,2.34E+12,2.9E+11,5.98E+11,7.11E+11,1.56E+11,1.63E+11,3E+11,1.87E+12,5.85E+12,5.2E+12,2.27E+12,2.43E+12,2.34E+12,1.63E+11,29.6,2,1,0
61,MYOR.jk,1.72E+13,2.83E+12,7.29E+12,2.68E+12,5.86E+11,-3.54E+11,2.6E+11,2.06E+12,2.06E+12,2.1E+12,2.83E+12,,4.46E+12,2.16E+13,-1.47E+11,2.45E+13,1.59E+12,330005500,3.78E+12,4.47E+11,1.05E+11,2.81E+12,3.61E+12,,2.6E+11,5.63E+12,1.1E+13,6.67E+11,5.92E+11,4.52E+11,1.18E+12,-7812019120,6.27E+12,1.06E+13,1.98E+13,1.28E+13,3.56E+12,8.51E+12,1.1E+13,-7812019120,38.2,3,4,5
62,PGAS.jk,3.51E+13,7.23E+11,6.73E+12,-2.54E+12,5.86E+11,-2.43E+12,1.05E+13,-3.84E+12,-3.84E+12,-3.13E+12,7.23E+11,4.05E+12,1.96E+12,4.11E+13,-3.27E+12,4.18E+13,3.12E+12,0,1.71E+13,4.99E+12,1.7E+12,9.99E+11,3.56E+13,4.95E+12,1.05E+13,8.64E+12,3.23E+13,8.26E+12,1.28E+12,9.71E+12,6.34E+12,-7.36E+12,6.69E+13,3.47E+13,1.09E+14,2.91E+13,1.72E+13,6.64E+13,3.24E+13,-7.36E+12,27.4,2,2,4
63,PNBN.jk,1.78E+11,,9.22E+12,4.07E+12,9.48E+11,,3.24E+12,3.1E+12,3.1E+12,3.12E+12,3.92E+12,1.37E+12,3.93E+12,5.48E+12,1.49E+11,9.4E+12,1.43E+14,3.44E+12,1.22E+13,2.41E+12,1.01E+11,2.24E+12,9.33E+12,4.33E+13,3.24E+12,6229000000,4.4E+13,1.25E+14,7.22E+12,2.82E+12,2.01E+12,9.38E+12,1.03E+13,2.9E+13,2.18E+14,3.95E+13,1.59E+14,1.71E+14,4.42E+13,9.38E+12,39.5,3,2,4
64,PNLF.jk,1.99E+12,6.98E+11,9.9E+11,2.13E+12,92862000000,,2.16E+12,1.86E+12,1.86E+12,2.04E+12,6.98E+11,,2.92E+11,2.28E+12,1.43E+12,2.98E+12,3.34E+12,,5.62E+12,4E+12,,,,2.32E+13,2.16E+12,94463000000,2.55E+13,1.53E+11,2.97E+11,35335000000,1.04E+12,5.09E+12,1.71E+11,1.66E+13,3.24E+13,8.64E+12,3.48E+12,4.54E+12,2.57E+13,5.09E+12,34.2,3,0,0
65,POWR.jk,4.01E+12,1.91E+12,2.75E+12,1.54E+12,4.61E+11,-4.01E+11,0,1.08E+12,1.08E+12,1.08E+12,1.91E+12,61986775000,7.77E+11,4.85E+12,-3.65E+11,6.76E+12,3.5E+11,2.15E+12,3.95E+12,4.09E+12,2.65E+11,6.19E+11,7.85E+12,0,0,8.51E+11,9.72E+12,1.06E+12,38967140500,2.84E+11,1.05E+12,1282510500,1.21E+13,3.78E+12,1.95E+13,6.34E+12,8.19E+11,9.75E+12,9.72E+12,-2.94E+11,40,4,3,4
66,PPRE.jk,1.89E+12,3.93E+11,4.42E+11,1.86E+11,70185146058,-1.91E+11,6.69E+11,58569358939,58569358939,1.16E+11,3.93E+11,7229520829,34272737416,1.94E+12,-2.07E+11,2.34E+12,1.49E+12,7.5E+11,1.35E+11,1.02E+12,,1.12E+11,8.66E+11,51442594664,6.69E+11,3.03E+12,1.92E+12,,5.5E+11,3.39E+11,14722453846,28252563034,2.6E+12,3.91E+11,6.77E+12,3.87E+12,2.95E+12,3.93E+12,2.17E+12,9622605011,36.3,3,3,2
67,PSAB.jk,1.28E+12,1.37E+12,2.31E+12,53631396500,25404043500,-5.28E+11,9.06E+11,-90169468000,-90169468000,28227353000,1.37E+12,0,7.15E+11,2.22E+12,-1.32E+12,3.59E+12,2.83E+11,1.49E+12,1.09E+11,8.53E+11,0,1.22E+12,3.47E+12,0,9.06E+11,47603021500,4.08E+12,2.01E+11,5.48E+11,4.53E+11,1.33E+12,-2E+11,1.11E+13,2.38E+12,1.39E+13,2.16E+12,3.57E+12,8.5E+12,4.52E+12,-2E+11,50.9,4,3,2
68,PTBA.jk,1.26E+13,2.47E+12,4.77E+12,3.23E+12,8.24E+11,-85742000000,1.76E+11,2.39E+12,2.39E+12,2.41E+12,2.47E+12,1.67E+11,2.13E+12,1.49E+13,7.58E+11,1.73E+13,6.97E+11,2.82E+11,4.34E+12,1.15E+12,5.43E+11,8.05E+11,5993000000,3.95E+12,1.76E+11,1.58E+12,1.67E+13,1.89E+12,71903000000,5.41E+11,2.85E+12,2.23E+11,9.75E+12,1.55E+13,2.41E+13,8.36E+12,3.87E+12,7.12E+12,1.68E+13,-1.92E+11,33,3,4,0
69,PTPP.jk,1.36E+13,1.07E+12,2.23E+12,8.01E+11,4.89E+11,-9.02E+11,3.35E+12,1.64E+11,1.64E+11,3.12E+11,1.07E+12,2.91E+11,5.84E+11,1.48E+13,-2.72E+11,1.58E+13,1.55E+13,4.71E+12,7.38E+12,6.2E+11,,7.96E+12,1.02E+13,3.21E+12,3.35E+12,1.14E+13,8.5E+12,1E+13,3.43E+12,2.51E+12,2.2E+12,2.11E+12,7.19E+12,3.12E+12,5.34E+13,3.1E+13,2.7E+13,3.95E+13,1.06E+13,2.1E+12,37.1,3,1,0
70,PWON.jk,2E+12,1.5E+12,1.98E+12,1.39E+12,2.71E+11,-2.83E+11,2.96E+12,9.3E+11,9.3E+11,1.12E+12,1.5E+12,47899497000,4.27E+11,2.48E+12,-1.11E+11,3.98E+12,3.48E+11,3.62E+11,2.89E+12,1.2E+12,58229219000,4.51E+12,3.55E+12,1.34E+11,2.96E+12,2.38E+11,1.46E+13,1.54E+13,6.3E+11,3.39E+12,9.77E+11,20032472000,2.36E+12,1.3E+13,2.65E+13,8.59E+12,4.34E+12,8.86E+12,1.46E+13,20032472000,21,2,3,4
71,RAJA.jk,1.2E+12,82118546000,2.31E+11,65021668500,28432194500,-32138220500,3.23E+11,20146706000,20146706000,36589474000,82118546000,22690760000,1.15E+11,1.35E+12,-17096877500,1.43E+12,1.23E+11,3.37E+11,5.63E+11,1.59E+11,18143487500,4582145000,2.89E+11,1.68E+11,3.23E+11,2.51E+11,9.95E+11,99630529500,73197667500,25445702000,22306278000,92251914500,7.88E+11,8.76E+11,2.42E+12,8.92E+11,3.16E+11,6.29E+11,1.46E+12,92251914500,31.8,3,3,2
72,RALS.jk,1.59E+12,-2.53E+11,9.37E+11,-1.81E+11,-42571000000,-35627000000,,-1.39E+11,-1.39E+11,-1.39E+11,-2.53E+11,-42968000000,1.23E+12,2.78E+12,71629000000,2.53E+12,6.04E+11,1.48E+11,1.55E+12,3.55E+11,1.07E+11,4.93E+11,,,,45082000000,3.71E+12,2.03E+11,24214000000,73580000000,2.62E+11,-28502000000,1.88E+12,3.56E+12,5.29E+12,3.2E+12,9.26E+11,1.57E+12,3.72E+12,-3.48E+11,20.1,2,3,4
73,SCMA.jk,2.51E+12,1.48E+12,2.59E+12,1.49E+12,3.38E+11,-7855745000,6.24E+11,1.15E+12,1.15E+12,1.15E+12,1.48E+12,-21313075000,1.13E+12,3.62E+12,11415845000,5.1E+12,3.52E+11,4.25E+11,6.78E+11,7.39E+11,39190063000,6.71E+11,1.11E+12,1.2E+11,6.24E+11,1.9E+12,2.03E+12,1.74E+11,1.85E+11,4.63E+11,2.05E+11,23722036000,1.62E+12,4.95E+12,6.77E+12,3.61E+12,1.54E+12,2.87E+12,3.27E+12,-2.84E+12,16.1,1,3,0
74,SIDO.jk,1.5E+12,1.15E+12,1.84E+12,1.2E+12,2.66E+11,-415000000,7000000,9.34E+11,9.34E+11,9.34E+11,1.15E+12,-6197000000,6.93E+11,2.18E+12,47557000000,3.34E+12,2.04E+11,7.07E+11,1.03E+12,1.5E+12,59920000000,3.09E+11,,,7000000,6.68E+11,3.09E+12,89382000000,28369000000,1.75E+11,63517000000,,1.58E+12,1.07E+12,3.85E+12,2.05E+12,5.6E+11,6.28E+11,3.22E+12,-58895000000,18.5,1,3,0
75,SIMP.jk,1.15E+13,1.77E+12,3.02E+12,1.03E+12,6.95E+11,-7.98E+11,3.56E+12,2.34E+11,2.34E+11,3.4E+11,1.77E+12,46340000000,1.2E+12,1.27E+13,-7.38E+11,1.45E+13,7.85E+11,2.5E+12,2.43E+12,3.16E+12,5.59E+11,2.67E+12,4.66E+12,1.32E+12,3.56E+12,1.3E+12,1.26E+13,3.55E+12,1.39E+12,8.33E+11,3.4E+12,63913000000,2.04E+13,9.47E+12,3.54E+13,7.81E+12,8.83E+12,1.69E+13,1.49E+13,-1.97E+11,31.8,3,1,4
76,SMBR.jk,1.01E+12,2.16E+11,7.09E+11,36467602000,25485929000,-1.84E+11,35016000,10984574000,10984574000,10981673000,2.16E+11,-55663859000,5.49E+11,1.51E+12,-1.79E+11,1.72E+12,2.59E+11,1.27E+12,3.62E+11,9.93E+11,,2.5E+11,1.17E+12,25000000,35016000,4.59E+11,3.17E+12,1.52E+11,25869289000,3691274000,2.17E+11,-59326386000,4.24E+12,1.2E+12,5.74E+12,1.1E+12,8.5E+11,2.33E+12,3.41E+12,-59326386000,38.1,3,3,4
77,SMGR.jk,2.34E+13,5.93E+12,1.18E+13,3.49E+12,8.14E+11,-2.29E+12,1.48E+12,2.79E+12,2.79E+12,2.67E+12,5.93E+12,-1.18E+11,5.95E+12,2.92E+13,-2.44E+12,3.52E+13,6.52E+12,1.46E+12,2.93E+12,5.93E+11,5.52E+11,4.55E+12,2.3E+13,88220000000,1.48E+12,6.04E+12,3.02E+13,2.34E+12,6.32E+11,7.11E+11,7.22E+12,82174000000,5.61E+13,3.2E+13,7.8E+13,1.56E+13,1.15E+13,4.24E+13,3.42E+13,82174000000,34.5,3,2,4
78,SMRA.jk,2.75E+12,1.28E+12,2.28E+12,4.4E+11,1.94E+11,-1.02E+12,2.24E+12,1.8E+11,1.8E+11,2.46E+11,1.28E+12,22468348000,9.78E+11,3.75E+12,-8.36E+11,5.03E+12,80677205000,22996315000,1.66E+12,1.44E+12,1879412000,9.29E+12,5.48E+12,66007096000,2.24E+12,3.64E+11,6.85E+12,1.26E+13,5.36E+11,3.53E+12,1.99E+12,-1665128000,3.32E+11,5.38E+12,2.49E+13,1.19E+13,8.36E+12,1.58E+13,6.85E+12,-1665128000,27.9,2,3,3
79,SMSM.jk,2.2E+12,6.82E+11,1.04E+12,6.84E+11,1.45E+11,-16355000000,3.74E+11,4.88E+11,4.88E+11,5.39E+11,6.82E+11,-3409000000,3.59E+11,2.55E+12,2345000000,3.23E+12,1.85E+11,49899000000,6.93E+11,1.44E+11,55632000000,7.21E+11,25986000000,65755000000,3.74E+11,8.26E+11,2.26E+12,1.58E+11,49359000000,1E+11,1.73E+11,31295000000,8.46E+11,2.05E+12,3.38E+12,2.29E+12,3.98E+11,7.27E+11,2.27E+12,31295000000,20.8,2,3,2
80,SOCI.jk,1.37E+12,3.79E+11,5.11E+11,4.52E+11,56754609500,-3.83E+11,4102760500,3.95E+11,3.95E+11,3.96E+11,3.79E+11,0,1.16E+11,1.51E+12,72887759000,1.88E+12,78063838500,1.48E+12,6.37E+11,9.54E+11,2726304500,3.28E+11,3.68E+12,0,4102760500,3.85E+11,5.23E+12,1.9E+11,2.07E+11,27770211500,34594288500,0,7.81E+12,2.79E+12,9.56E+12,1.56E+12,6.09E+11,4.33E+12,5.23E+12,0,31.8,3,3,2
